Timestamp,City,Location,PM2.5,PM10,NO2,NH3,SO2,CO,O3
01-01-2020,Lucknow,Lucknow - Lalbagh,308.26,,69.1,,37.16,3.22,38.98
02-01-2020,Lucknow,Lucknow - Lalbagh,161.63,,54.7,,21.61,3.61,38.79
03-01-2020,Lucknow,Lucknow - Lalbagh,77.33,,33.31,,8.85,1.84,38.24
04-01-2020,Lucknow,Lucknow - Lalbagh,99.86,,36.23,,10.45,2.73,40.82
05-01-2020,Lucknow,Lucknow - Lalbagh,92.92,,29.22,,8.9,1.57,46.05
06-01-2020,Lucknow,Lucknow - Lalbagh,132.18,,32.66,,14.67,3.96,39.96
07-01-2020,Lucknow,Lucknow - Lalbagh,118.36,,24.98,,9.74,2.43,34.38
08-01-2020,Lucknow,Lucknow - Lalbagh,113.41,,18.1,,8.7,1.28,34.52
09-01-2020,Lucknow,Lucknow - Lalbagh,67.17,,13.61,,8.08,1.46,37.64
10-01-2020,Lucknow,Lucknow - Lalbagh,137.04,,30.83,,6.32,1.9,40.71
11-01-2020,Lucknow,Lucknow - Lalbagh,198.25,,54.04,,8.31,1.9,40.68
12-01-2020,Lucknow,Lucknow - Lalbagh,279.72,,57.56,,12.4,1.9,40.38
13-01-2020,Lucknow,Lucknow - Lalbagh,223.36,,44.7,,4.98,1.9,37.18
14-01-2020,Lucknow,Lucknow - Lalbagh,157.27,,56.85,,8.54,3.42,36.53
15-01-2020,Lucknow,Lucknow - Lalbagh,180.81,,65.94,,6.31,3.59,34.35
16-01-2020,Lucknow,Lucknow - Lalbagh,96.6,,32.08,,3.43,2.44,35.96
17-01-2020,Lucknow,Lucknow - Lalbagh,68.33,,29.54,,8.36,3.46,36.25
18-01-2020,Lucknow,Lucknow - Lalbagh,105.34,,25.26,,7.75,2.97,37.37
19-01-2020,Lucknow,Lucknow - Lalbagh,102.34,,30.17,,4.02,2.92,4.98
20-01-2020,Lucknow,Lucknow - Lalbagh,141.9,,30.72,,4.5,2.73,23.11
21-01-2020,Lucknow,Lucknow - Lalbagh,185.28,,52.8,,8.66,1.91,38.67
22-01-2020,Lucknow,Lucknow - Lalbagh,206.24,,49.5,,9.48,2.98,40.86
23-01-2020,Lucknow,Lucknow - Lalbagh,123.58,,34.43,,4.96,0.65,44.97
24-01-2020,Lucknow,Lucknow - Lalbagh,118.29,,43.58,,7.14,1.52,48.12
25-01-2020,Lucknow,Lucknow - Lalbagh,177.3,,60.48,,7.7,2.77,45.29
26-01-2020,Lucknow,Lucknow - Lalbagh,161.36,,46.26,,7.82,4.17,39.19
27-01-2020,Lucknow,Lucknow - Lalbagh,144.95,,52.98,,4.37,3.16,38.6
28-01-2020,Lucknow,Lucknow - Lalbagh,158.54,,48.89,,3.78,2.55,49.94
29-01-2020,Lucknow,Lucknow - Lalbagh,126.78,,25.36,,2.25,1.63,60.45
30-01-2020,Lucknow,Lucknow - Lalbagh,63.48,,33.52,,3.42,1.84,52.54
31-01-2020,Lucknow,Lucknow - Lalbagh,117.07,,43.45,,4.76,2.19,48.13
01-02-2020,Lucknow,Lucknow - Lalbagh,150.12,,49.45,,4.01,1.28,38.58
02-02-2020,Lucknow,Lucknow - Lalbagh,152.03,,43.96,,6.0,1.14,37.96
03-02-2020,Lucknow,Lucknow - Lalbagh,153.09,,56.52,,6.24,2.65,36.07
